image_id,clear_image_path,hazy_image_paths,trans_image_paths
11,clear/11.png,"['hazy/11_1_0.87654.png', 'hazy/11_2_0.82108.png', 'hazy/11_3_0.92194.png', 'hazy/11_4_0.74311.png', 'hazy/11_5_0.79673.png', 'hazy/11_6_0.96418.png', 'hazy/11_7_0.84123.png', 'hazy/11_8_0.78847.png', 'hazy/11_9_0.97192.png', 'hazy/11_10_0.91544.png']","['trans/11_1.png', 'trans/11_2.png', 'trans/11_3.png', 'trans/11_4.png', 'trans/11_5.png', 'trans/11_6.png', 'trans/11_7.png', 'trans/11_8.png', 'trans/11_9.png', 'trans/11_10.png']"
12,clear/12.png,"['hazy/12_1_0.87998.png', 'hazy/12_2_0.8134.png', 'hazy/12_3_0.72212.png', 'hazy/12_4_0.79389.png', 'hazy/12_5_0.76092.png', 'hazy/12_6_0.94954.png', 'hazy/12_7_0.98478.png', 'hazy/12_8_0.86345.png', 'hazy/12_9_0.80197.png', 'hazy/12_10_0.82197.png']","['trans/12_1.png', 'trans/12_2.png', 'trans/12_3.png', 'trans/12_4.png', 'trans/12_5.png', 'trans/12_6.png', 'trans/12_7.png', 'trans/12_8.png', 'trans/12_9.png', 'trans/12_10.png']"
13,clear/13.png,"['hazy/13_1_0.93828.png', 'hazy/13_2_0.84997.png', 'hazy/13_3_0.86817.png', 'hazy/13_4_0.89623.png', 'hazy/13_5_0.94584.png', 'hazy/13_6_0.87098.png', 'hazy/13_7_0.94276.png', 'hazy/13_8_0.92542.png', 'hazy/13_9_0.99453.png', 'hazy/13_10_0.95307.png']","['trans/13_1.png', 'trans/13_2.png', 'trans/13_3.png', 'trans/13_4.png', 'trans/13_5.png', 'trans/13_6.png', 'trans/13_7.png', 'trans/13_8.png', 'trans/13_9.png', 'trans/13_10.png']"
14,clear/14.png,"['hazy/14_1_0.85174.png', 'hazy/14_2_0.78966.png', 'hazy/14_3_0.99196.png', 'hazy/14_4_0.89491.png', 'hazy/14_5_0.75793.png', 'hazy/14_6_0.77524.png', 'hazy/14_7_0.94412.png', 'hazy/14_8_0.929.png', 'hazy/14_9_0.72757.png', 'hazy/14_10_0.76284.png']","['trans/14_1.png', 'trans/14_2.png', 'trans/14_3.png', 'trans/14_4.png', 'trans/14_5.png', 'trans/14_6.png', 'trans/14_7.png', 'trans/14_8.png', 'trans/14_9.png', 'trans/14_10.png']"
15,clear/15.png,"['hazy/15_1_0.77691.png', 'hazy/15_2_0.71235.png', 'hazy/15_3_0.91494.png', 'hazy/15_4_0.82487.png', 'hazy/15_5_0.82966.png', 'hazy/15_6_0.8676.png', 'hazy/15_7_0.77734.png', 'hazy/15_8_0.90721.png', 'hazy/15_9_0.73458.png', 'hazy/15_10_0.84147.png']","['trans/15_1.png', 'trans/15_2.png', 'trans/15_3.png', 'trans/15_4.png', 'trans/15_5.png', 'trans/15_6.png', 'trans/15_7.png', 'trans/15_8.png', 'trans/15_9.png', 'trans/15_10.png']"
16,clear/16.png,"['hazy/16_1_0.80332.png', 'hazy/16_2_0.72134.png', 'hazy/16_3_0.74902.png', 'hazy/16_4_0.81224.png', 'hazy/16_5_0.74733.png', 'hazy/16_6_0.88475.png', 'hazy/16_7_0.74315.png', 'hazy/16_8_0.91936.png', 'hazy/16_9_0.77576.png', 'hazy/16_10_0.90567.png']","['trans/16_1.png', 'trans/16_2.png', 'trans/16_3.png', 'trans/16_4.png', 'trans/16_5.png', 'trans/16_6.png', 'trans/16_7.png', 'trans/16_8.png', 'trans/16_9.png', 'trans/16_10.png']"
17,clear/17.png,"['hazy/17_1_0.75785.png', 'hazy/17_2_0.73863.png', 'hazy/17_3_0.97138.png', 'hazy/17_4_0.72309.png', 'hazy/17_5_0.90011.png', 'hazy/17_6_0.72404.png', 'hazy/17_7_0.97634.png', 'hazy/17_8_0.77768.png', 'hazy/17_9_0.90357.png', 'hazy/17_10_0.83259.png']","['trans/17_1.png', 'trans/17_2.png', 'trans/17_3.png', 'trans/17_4.png', 'trans/17_5.png', 'trans/17_6.png', 'trans/17_7.png', 'trans/17_8.png', 'trans/17_9.png', 'trans/17_10.png']"
18,clear/18.png,"['hazy/18_1_0.85656.png', 'hazy/18_2_0.99628.png', 'hazy/18_3_0.87321.png', 'hazy/18_4_0.93964.png', 'hazy/18_5_0.79271.png', 'hazy/18_6_0.9566.png', 'hazy/18_7_0.75861.png', 'hazy/18_8_0.73009.png', 'hazy/18_9_0.7127.png', 'hazy/18_10_0.77816.png']","['trans/18_1.png', 'trans/18_2.png', 'trans/18_3.png', 'trans/18_4.png', 'trans/18_5.png', 'trans/18_6.png', 'trans/18_7.png', 'trans/18_8.png', 'trans/18_9.png', 'trans/18_10.png']"
19,clear/19.png,"['hazy/19_1_0.88289.png', 'hazy/19_2_0.72057.png', 'hazy/19_3_0.9039.png', 'hazy/19_4_0.87056.png', 'hazy/19_5_0.81595.png', 'hazy/19_6_0.80981.png', 'hazy/19_7_0.75533.png', 'hazy/19_8_0.94459.png', 'hazy/19_9_0.80586.png', 'hazy/19_10_0.73043.png']","['trans/19_1.png', 'trans/19_2.png', 'trans/19_3.png', 'trans/19_4.png', 'trans/19_5.png', 'trans/19_6.png', 'trans/19_7.png', 'trans/19_8.png', 'trans/19_9.png', 'trans/19_10.png']"
20,clear/20.png,"['hazy/20_1_0.88708.png', 'hazy/20_2_0.72636.png', 'hazy/20_3_0.72524.png', 'hazy/20_4_0.74705.png', 'hazy/20_5_0.94053.png', 'hazy/20_6_0.96268.png', 'hazy/20_7_0.83682.png', 'hazy/20_8_0.74496.png', 'hazy/20_9_0.84756.png', 'hazy/20_10_0.71636.png']","['trans/20_1.png', 'trans/20_2.png', 'trans/20_3.png', 'trans/20_4.png', 'trans/20_5.png', 'trans/20_6.png', 'trans/20_7.png', 'trans/20_8.png', 'trans/20_9.png', 'trans/20_10.png']"
21,clear/21.png,"['hazy/21_1_0.96333.png', 'hazy/21_2_0.98829.png', 'hazy/21_3_0.97385.png', 'hazy/21_4_0.91675.png', 'hazy/21_5_0.93569.png', 'hazy/21_6_0.93729.png', 'hazy/21_7_0.79427.png', 'hazy/21_8_0.92251.png', 'hazy/21_9_0.90941.png', 'hazy/21_10_0.92987.png']","['trans/21_1.png', 'trans/21_2.png', 'trans/21_3.png', 'trans/21_4.png', 'trans/21_5.png', 'trans/21_6.png', 'trans/21_7.png', 'trans/21_8.png', 'trans/21_9.png', 'trans/21_10.png']"
22,clear/22.png,"['hazy/22_1_0.8617.png', 'hazy/22_2_0.94009.png', 'hazy/22_3_0.71771.png', 'hazy/22_4_0.85859.png', 'hazy/22_5_0.87256.png', 'hazy/22_6_0.74657.png', 'hazy/22_7_0.74404.png', 'hazy/22_8_0.7882.png', 'hazy/22_9_0.98142.png', 'hazy/22_10_0.83841.png']","['trans/22_1.png', 'trans/22_2.png', 'trans/22_3.png', 'trans/22_4.png', 'trans/22_5.png', 'trans/22_6.png', 'trans/22_7.png', 'trans/22_8.png', 'trans/22_9.png', 'trans/22_10.png']"
23,clear/23.png,"['hazy/23_1_0.82006.png', 'hazy/23_2_0.88363.png', 'hazy/23_3_0.86914.png', 'hazy/23_4_0.81765.png', 'hazy/23_5_0.7406.png', 'hazy/23_6_0.73831.png', 'hazy/23_7_0.76763.png', 'hazy/23_8_0.96293.png', 'hazy/23_9_0.81117.png', 'hazy/23_10_0.85003.png']","['trans/23_1.png', 'trans/23_2.png', 'trans/23_3.png', 'trans/23_4.png', 'trans/23_5.png', 'trans/23_6.png', 'trans/23_7.png', 'trans/23_8.png', 'trans/23_9.png', 'trans/23_10.png']"
24,clear/24.png,"['hazy/24_1_0.80108.png', 'hazy/24_2_0.80497.png', 'hazy/24_3_0.89422.png', 'hazy/24_4_0.70681.png', 'hazy/24_5_0.85061.png', 'hazy/24_6_0.95079.png', 'hazy/24_7_0.70503.png', 'hazy/24_8_0.73554.png', 'hazy/24_9_0.74846.png', 'hazy/24_10_0.83497.png']","['trans/24_1.png', 'trans/24_2.png', 'trans/24_3.png', 'trans/24_4.png', 'trans/24_5.png', 'trans/24_6.png', 'trans/24_7.png', 'trans/24_8.png', 'trans/24_9.png', 'trans/24_10.png']"
25,clear/25.png,"['hazy/25_1_0.97378.png', 'hazy/25_2_0.70681.png', 'hazy/25_3_0.87171.png', 'hazy/25_4_0.96539.png', 'hazy/25_5_0.75328.png', 'hazy/25_6_0.88678.png', 'hazy/25_7_0.84799.png', 'hazy/25_8_0.71025.png', 'hazy/25_9_0.70075.png', 'hazy/25_10_0.88402.png']","['trans/25_1.png', 'trans/25_2.png', 'trans/25_3.png', 'trans/25_4.png', 'trans/25_5.png', 'trans/25_6.png', 'trans/25_7.png', 'trans/25_8.png', 'trans/25_9.png', 'trans/25_10.png']"
26,clear/26.png,"['hazy/26_1_0.98121.png', 'hazy/26_2_0.75451.png', 'hazy/26_3_0.76694.png', 'hazy/26_4_0.79243.png', 'hazy/26_5_0.74288.png', 'hazy/26_6_0.98218.png', 'hazy/26_7_0.83301.png', 'hazy/26_8_0.79668.png', 'hazy/26_9_0.74376.png', 'hazy/26_10_0.87655.png']","['trans/26_1.png', 'trans/26_2.png', 'trans/26_3.png', 'trans/26_4.png', 'trans/26_5.png', 'trans/26_6.png', 'trans/26_7.png', 'trans/26_8.png', 'trans/26_9.png', 'trans/26_10.png']"
27,clear/27.png,"['hazy/27_1_0.74977.png', 'hazy/27_2_0.9907.png', 'hazy/27_3_0.85955.png', 'hazy/27_4_0.84084.png', 'hazy/27_5_0.97778.png', 'hazy/27_6_0.80531.png', 'hazy/27_7_0.92419.png', 'hazy/27_8_0.95325.png', 'hazy/27_9_0.92614.png', 'hazy/27_10_0.80268.png']","['trans/27_1.png', 'trans/27_2.png', 'trans/27_3.png', 'trans/27_4.png', 'trans/27_5.png', 'trans/27_6.png', 'trans/27_7.png', 'trans/27_8.png', 'trans/27_9.png', 'trans/27_10.png']"
28,clear/28.png,"['hazy/28_1_0.776.png', 'hazy/28_2_0.78178.png', 'hazy/28_3_0.99421.png', 'hazy/28_4_0.71841.png', 'hazy/28_5_0.72099.png', 'hazy/28_6_0.88742.png', 'hazy/28_7_0.93422.png', 'hazy/28_8_0.90583.png', 'hazy/28_9_0.74551.png', 'hazy/28_10_0.7355.png']","['trans/28_1.png', 'trans/28_2.png', 'trans/28_3.png', 'trans/28_4.png', 'trans/28_5.png', 'trans/28_6.png', 'trans/28_7.png', 'trans/28_8.png', 'trans/28_9.png', 'trans/28_10.png']"
29,clear/29.png,"['hazy/29_1_0.87365.png', 'hazy/29_2_0.96815.png', 'hazy/29_3_0.72318.png', 'hazy/29_4_0.76249.png', 'hazy/29_5_0.71201.png', 'hazy/29_6_0.76452.png', 'hazy/29_7_0.71849.png', 'hazy/29_8_0.92203.png', 'hazy/29_9_0.85352.png', 'hazy/29_10_0.77811.png']","['trans/29_1.png', 'trans/29_2.png', 'trans/29_3.png', 'trans/29_4.png', 'trans/29_5.png', 'trans/29_6.png', 'trans/29_7.png', 'trans/29_8.png', 'trans/29_9.png', 'trans/29_10.png']"
30,clear/30.png,"['hazy/30_1_0.79028.png', 'hazy/30_2_0.80422.png', 'hazy/30_3_0.72667.png', 'hazy/30_4_0.85426.png', 'hazy/30_5_0.91534.png', 'hazy/30_6_0.87293.png', 'hazy/30_7_0.71135.png', 'hazy/30_8_0.82444.png', 'hazy/30_9_0.89293.png', 'hazy/30_10_0.81395.png']","['trans/30_1.png', 'trans/30_2.png', 'trans/30_3.png', 'trans/30_4.png', 'trans/30_5.png', 'trans/30_6.png', 'trans/30_7.png', 'trans/30_8.png', 'trans/30_9.png', 'trans/30_10.png']"
31,clear/31.png,"['hazy/31_1_0.72253.png', 'hazy/31_2_0.8806.png', 'hazy/31_3_0.99283.png', 'hazy/31_4_0.79792.png', 'hazy/31_5_0.91026.png', 'hazy/31_6_0.97008.png', 'hazy/31_7_0.71136.png', 'hazy/31_8_0.79724.png', 'hazy/31_9_0.96879.png', 'hazy/31_10_0.85768.png']","['trans/31_1.png', 'trans/31_2.png', 'trans/31_3.png', 'trans/31_4.png', 'trans/31_5.png', 'trans/31_6.png', 'trans/31_7.png', 'trans/31_8.png', 'trans/31_9.png', 'trans/31_10.png']"
32,clear/32.png,"['hazy/32_1_0.77433.png', 'hazy/32_2_0.87945.png', 'hazy/32_3_0.88045.png', 'hazy/32_4_0.797.png', 'hazy/32_5_0.87913.png', 'hazy/32_6_0.94501.png', 'hazy/32_7_0.75174.png', 'hazy/32_8_0.79349.png', 'hazy/32_9_0.74132.png', 'hazy/32_10_0.80824.png']","['trans/32_1.png', 'trans/32_2.png', 'trans/32_3.png', 'trans/32_4.png', 'trans/32_5.png', 'trans/32_6.png', 'trans/32_7.png', 'trans/32_8.png', 'trans/32_9.png', 'trans/32_10.png']"
33,clear/33.png,"['hazy/33_1_0.80333.png', 'hazy/33_2_0.79538.png', 'hazy/33_3_0.81509.png', 'hazy/33_4_0.84297.png', 'hazy/33_5_0.80096.png', 'hazy/33_6_0.81503.png', 'hazy/33_7_0.87482.png', 'hazy/33_8_0.86036.png', 'hazy/33_9_0.97732.png', 'hazy/33_10_0.96497.png']","['trans/33_1.png', 'trans/33_2.png', 'trans/33_3.png', 'trans/33_4.png', 'trans/33_5.png', 'trans/33_6.png', 'trans/33_7.png', 'trans/33_8.png', 'trans/33_9.png', 'trans/33_10.png']"
34,clear/34.png,"['hazy/34_1_0.87533.png', 'hazy/34_2_0.92163.png', 'hazy/34_3_0.74025.png', 'hazy/34_4_0.77121.png', 'hazy/34_5_0.82948.png', 'hazy/34_6_0.96628.png', 'hazy/34_7_0.92592.png', 'hazy/34_8_0.85299.png', 'hazy/34_9_0.9437.png', 'hazy/34_10_0.78575.png']","['trans/34_1.png', 'trans/34_2.png', 'trans/34_3.png', 'trans/34_4.png', 'trans/34_5.png', 'trans/34_6.png', 'trans/34_7.png', 'trans/34_8.png', 'trans/34_9.png', 'trans/34_10.png']"
35,clear/35.png,"['hazy/35_1_0.83334.png', 'hazy/35_2_0.81642.png', 'hazy/35_3_0.89239.png', 'hazy/35_4_0.72528.png', 'hazy/35_5_0.97793.png', 'hazy/35_6_0.88535.png', 'hazy/35_7_0.94505.png', 'hazy/35_8_0.9959.png', 'hazy/35_9_0.75976.png', 'hazy/35_10_0.73792.png']","['trans/35_1.png', 'trans/35_2.png', 'trans/35_3.png', 'trans/35_4.png', 'trans/35_5.png', 'trans/35_6.png', 'trans/35_7.png', 'trans/35_8.png', 'trans/35_9.png', 'trans/35_10.png']"
36,clear/36.png,"['hazy/36_1_0.98878.png', 'hazy/36_2_0.93032.png', 'hazy/36_3_0.71653.png', 'hazy/36_4_0.84248.png', 'hazy/36_5_0.97714.png', 'hazy/36_6_0.74616.png', 'hazy/36_7_0.77063.png', 'hazy/36_8_0.71703.png', 'hazy/36_9_0.81205.png', 'hazy/36_10_0.79191.png']","['trans/36_1.png', 'trans/36_2.png', 'trans/36_3.png', 'trans/36_4.png', 'trans/36_5.png', 'trans/36_6.png', 'trans/36_7.png', 'trans/36_8.png', 'trans/36_9.png', 'trans/36_10.png']"
37,clear/37.png,"['hazy/37_1_0.76463.png', 'hazy/37_2_0.89189.png', 'hazy/37_3_0.7947.png', 'hazy/37_4_0.85181.png', 'hazy/37_5_0.92192.png', 'hazy/37_6_0.70186.png', 'hazy/37_7_0.97506.png', 'hazy/37_8_0.80619.png', 'hazy/37_9_0.75857.png', 'hazy/37_10_0.78578.png']","['trans/37_1.png', 'trans/37_2.png', 'trans/37_3.png', 'trans/37_4.png', 'trans/37_5.png', 'trans/37_6.png', 'trans/37_7.png', 'trans/37_8.png', 'trans/37_9.png', 'trans/37_10.png']"
38,clear/38.png,"['hazy/38_1_0.73732.png', 'hazy/38_2_0.85695.png', 'hazy/38_3_0.87488.png', 'hazy/38_4_0.94953.png', 'hazy/38_5_0.77836.png', 'hazy/38_6_0.81044.png', 'hazy/38_7_0.79956.png', 'hazy/38_8_0.79004.png', 'hazy/38_9_0.92543.png', 'hazy/38_10_0.92003.png']","['trans/38_1.png', 'trans/38_2.png', 'trans/38_3.png', 'trans/38_4.png', 'trans/38_5.png', 'trans/38_6.png', 'trans/38_7.png', 'trans/38_8.png', 'trans/38_9.png', 'trans/38_10.png']"
39,clear/39.png,"['hazy/39_1_0.73025.png', 'hazy/39_2_0.83542.png', 'hazy/39_3_0.78582.png', 'hazy/39_4_0.96353.png', 'hazy/39_5_0.92348.png', 'hazy/39_6_0.96257.png', 'hazy/39_7_0.94788.png', 'hazy/39_8_0.94058.png', 'hazy/39_9_0.88989.png', 'hazy/39_10_0.78833.png']","['trans/39_1.png', 'trans/39_2.png', 'trans/39_3.png', 'trans/39_4.png', 'trans/39_5.png', 'trans/39_6.png', 'trans/39_7.png', 'trans/39_8.png', 'trans/39_9.png', 'trans/39_10.png']"
40,clear/40.png,"['hazy/40_1_0.86762.png', 'hazy/40_2_0.92211.png', 'hazy/40_3_0.95536.png', 'hazy/40_4_0.72085.png', 'hazy/40_5_0.86583.png', 'hazy/40_6_0.79756.png', 'hazy/40_7_0.79065.png', 'hazy/40_8_0.74532.png', 'hazy/40_9_0.75425.png', 'hazy/40_10_0.80143.png']","['trans/40_1.png', 'trans/40_2.png', 'trans/40_3.png', 'trans/40_4.png', 'trans/40_5.png', 'trans/40_6.png', 'trans/40_7.png', 'trans/40_8.png', 'trans/40_9.png', 'trans/40_10.png']"
41,clear/41.png,"['hazy/41_1_0.97099.png', 'hazy/41_2_0.82865.png', 'hazy/41_3_0.81314.png', 'hazy/41_4_0.7863.png', 'hazy/41_5_0.8535.png', 'hazy/41_6_0.7949.png', 'hazy/41_7_0.96009.png', 'hazy/41_8_0.74363.png', 'hazy/41_9_0.75813.png', 'hazy/41_10_0.99408.png']","['trans/41_1.png', 'trans/41_2.png', 'trans/41_3.png', 'trans/41_4.png', 'trans/41_5.png', 'trans/41_6.png', 'trans/41_7.png', 'trans/41_8.png', 'trans/41_9.png', 'trans/41_10.png']"
42,clear/42.png,"['hazy/42_1_0.77868.png', 'hazy/42_2_0.70147.png', 'hazy/42_3_0.86574.png', 'hazy/42_4_0.77845.png', 'hazy/42_5_0.71584.png', 'hazy/42_6_0.91804.png', 'hazy/42_7_0.87194.png', 'hazy/42_8_0.81053.png', 'hazy/42_9_0.95652.png', 'hazy/42_10_0.89354.png']","['trans/42_1.png', 'trans/42_2.png', 'trans/42_3.png', 'trans/42_4.png', 'trans/42_5.png', 'trans/42_6.png', 'trans/42_7.png', 'trans/42_8.png', 'trans/42_9.png', 'trans/42_10.png']"
43,clear/43.png,"['hazy/43_1_0.79813.png', 'hazy/43_2_0.87413.png', 'hazy/43_3_0.7623.png', 'hazy/43_4_0.84091.png', 'hazy/43_5_0.81528.png', 'hazy/43_6_0.85564.png', 'hazy/43_7_0.77763.png', 'hazy/43_8_0.97823.png', 'hazy/43_9_0.72219.png', 'hazy/43_10_0.86292.png']","['trans/43_1.png', 'trans/43_2.png', 'trans/43_3.png', 'trans/43_4.png', 'trans/43_5.png', 'trans/43_6.png', 'trans/43_7.png', 'trans/43_8.png', 'trans/43_9.png', 'trans/43_10.png']"
44,clear/44.png,"['hazy/44_1_0.78534.png', 'hazy/44_2_0.80364.png', 'hazy/44_3_0.72232.png', 'hazy/44_4_0.9073.png', 'hazy/44_5_0.87083.png', 'hazy/44_6_0.70534.png', 'hazy/44_7_0.8664.png', 'hazy/44_8_0.80231.png', 'hazy/44_9_0.7432.png', 'hazy/44_10_0.87422.png']","['trans/44_1.png', 'trans/44_2.png', 'trans/44_3.png', 'trans/44_4.png', 'trans/44_5.png', 'trans/44_6.png', 'trans/44_7.png', 'trans/44_8.png', 'trans/44_9.png', 'trans/44_10.png']"
45,clear/45.png,"['hazy/45_1_0.87991.png', 'hazy/45_2_0.94467.png', 'hazy/45_3_0.9644.png', 'hazy/45_4_0.94529.png', 'hazy/45_5_0.7922.png', 'hazy/45_6_0.77473.png', 'hazy/45_7_0.77544.png', 'hazy/45_8_0.89596.png', 'hazy/45_9_0.99389.png', 'hazy/45_10_0.71217.png']","['trans/45_1.png', 'trans/45_2.png', 'trans/45_3.png', 'trans/45_4.png', 'trans/45_5.png', 'trans/45_6.png', 'trans/45_7.png', 'trans/45_8.png', 'trans/45_9.png', 'trans/45_10.png']"
46,clear/46.png,"['hazy/46_1_0.79646.png', 'hazy/46_2_0.77206.png', 'hazy/46_3_0.88081.png', 'hazy/46_4_0.96524.png', 'hazy/46_5_0.90224.png', 'hazy/46_6_0.95292.png', 'hazy/46_7_0.8802.png', 'hazy/46_8_0.90003.png', 'hazy/46_9_0.7771.png', 'hazy/46_10_0.84396.png']","['trans/46_1.png', 'trans/46_2.png', 'trans/46_3.png', 'trans/46_4.png', 'trans/46_5.png', 'trans/46_6.png', 'trans/46_7.png', 'trans/46_8.png', 'trans/46_9.png', 'trans/46_10.png']"
47,clear/47.png,"['hazy/47_1_0.72615.png', 'hazy/47_2_0.75589.png', 'hazy/47_3_0.79141.png', 'hazy/47_4_0.96715.png', 'hazy/47_5_0.8233.png', 'hazy/47_6_0.9542.png', 'hazy/47_7_0.71697.png', 'hazy/47_8_0.72898.png', 'hazy/47_9_0.71921.png', 'hazy/47_10_0.96318.png']","['trans/47_1.png', 'trans/47_2.png', 'trans/47_3.png', 'trans/47_4.png', 'trans/47_5.png', 'trans/47_6.png', 'trans/47_7.png', 'trans/47_8.png', 'trans/47_9.png', 'trans/47_10.png']"
